 par_1      , par_2      , par_3      , par_4      , par_5      , par_6      , par_7      , par_8      , par_9      , par_10     , par_11     , par_12     , par_13     , par_14     , par_15     , par_16     , par_17     , par_18     , par_19     , par_20     , par_21     , par_22     , par_23     , par_24     , par_25     , par_26     , par_27     , par_28     , par_29     , par_30     , par_31     , par_32     , par_33     , par_34     , par_35     , par_36     , par_37     , par_38     , par_39     , par_40     , par_41     , par_42     , par_43     , par_44     , par_45     , par_46     , par_47     , par_48     , par_49     , par_50     , par_51     , par_52     , par_53     , par_54     , par_55     , par_56     , par_57     , par_58     , par_59     , par_60     , par_61     , par_62     , par_63     , par_64     , f_value    
 +0.0000e+00, +3.7334e-03, +2.2653e-01, +6.4677e-02, +0.0000e+00, +0.0000e+00, +1.8280e-01, +2.8011e-02, +0.0000e+00, +6.2680e-02, +1.0548e-02, +0.0000e+00, +2.3855e-01, +0.0000e+00, +0.0000e+00, +2.2941e-02, +0.0000e+00, +1.2961e-02, +8.6194e-02, +0.0000e+00, +1.0598e-01, +3.3524e-01, +1.1646e-01, +6.6502e-03, +0.0000e+00, +4.3598e-02, +1.2545e-01, +0.0000e+00, +0.0000e+00, +8.2829e-01, +3.8478e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.4590e-01, +4.0973e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.3719e-01, +2.7113e-01, +1.1829e-03, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.6682e-02, +9.6027e-02, +2.7898e-03, +0.0000e+00, +0.0000e+00, +1.5534e-02, +0.0000e+00, +1.3823e-02, +2.3061e-02, +4.8445e-03, +6.7770e-05, +1.0000e+06
 +0.0000e+00, +1.2311e-15, +1.0985e-13, +1.4124e-01, +0.0000e+00, +0.0000e+00, +7.5596e-14, +6.7073e-02, +0.0000e+00, +2.6760e-14, +1.2465e-14, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.9987e-02, +8.1271e-14, +0.0000e+00, +3.5568e-01, +3.5641e-13, +4.1444e-01, +7.8304e-15, +0.0000e+00, +1.7015e-01, +1.9231e-13, +0.0000e+00, +0.0000e+00, +1.9176e-12, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.7666e-13, +2.5994e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +7.0901e-13, +3.7080e-15, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +5.5217e-13, +4.7933e-13, +6.9016e-14, +0.0000e+00, +0.0000e+00, +1.0123e-13, +0.0000e+00, +7.2157e-01, +1.6946e+00, +2.7249e-13, +2.5225e-02, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.4124e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.9987e-02, +1.7664e-15, +0.0000e+00, +3.5568e-01, +0.0000e+00, +4.1444e-01, +4.6161e-19, +0.0000e+00, +1.7015e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.5994e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +4.1484e-17, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.8723e-15, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +1.6946e+00, +0.0000e+00, +2.5225e-02, +1.0000e+06
 +0.0000e+00, +7.7985e-03, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +4.2757e-01, +0.0000e+00, +0.0000e+00, +1.1561e-01, +2.7150e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +0.0000e+00, +2.7336e-01, +0.0000e+00, +0.0000e+00, +1.1582e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.6910e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +5.8344e-02, +0.0000e+00, +0.0000e+00, +5.1037e-01, +0.0000e+00, +7.2157e-01, +1.6946e+00, +5.9676e-01, +0.0000e+00, +1.0000e+06
 +0.0000e+00, +7.7985e-03, +0.0000e+00, +8.5647e-16, +0.0000e+00, +0.0000e+00, +4.2757e-01, +5.7791e-16, +0.0000e+00, +1.5745e-01, +2.7150e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.7570e-17, +2.7336e-01, +0.0000e+00, +5.8492e-15, +1.1582e+00, +5.2257e-15, +0.0000e+00, +0.0000e+00, +1.9107e-16, +2.0850e-16, +0.0000e+00, +0.0000e+00, +3.6910e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.9216e-13, +1.3676e-17, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +1.3894e-17, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.5206e-15, +0.0000e+00, +5.8344e-02, +0.0000e+00, +0.0000e+00, +5.1037e-01, +0.0000e+00, +2.2764e-01, +1.6946e+00, +5.9676e-01, +6.9914e-17, +1.0000e+06
 +0.0000e+00, +7.7985e-03, +2.3335e-15, +1.6605e-14, +0.0000e+00, +0.0000e+00, +4.2757e-01, +6.1466e-15, +0.0000e+00, +1.5745e-01, +8.4119e-15, +0.0000e+00, +4.0637e-14, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +9.8770e-15, +2.7336e-01, +0.0000e+00, +4.7485e-15, +1.1582e+00, +4.2296e-14, +2.2874e-15, +0.0000e+00, +5.6471e-15, +1.5364e-14, +0.0000e+00, +0.0000e+00, +3.6910e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2189e+00, +1.3287e-13, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +9.2603e-16, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.3391e-13, +3.2034e-14, +5.8344e-02, +0.0000e+00, +0.0000e+00, +5.1037e-01, +0.0000e+00, +7.2157e-01, +1.6946e+00, +5.9676e-01, +2.5575e-15, +1.0000e+06
 +0.0000e+00, +7.7985e-03, +2.6170e-14, +2.7422e-16, +0.0000e+00, +0.0000e+00, +4.2757e-01, +3.4906e-15, +0.0000e+00, +3.7311e-15, +2.7150e-02, +0.0000e+00, +7.5182e-15, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +2.4093e-15, +2.7336e-01, +0.0000e+00, +1.9344e-14, +1.1582e+00, +5.4384e-15, +1.4094e-15, +0.0000e+00, +3.4004e-15, +2.9574e-14, +0.0000e+00, +0.0000e+00, +3.6910e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +2.6840e-14, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +4.4771e-16, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.8685e-14, +2.1231e-14, +5.8344e-02, +0.0000e+00, +0.0000e+00, +5.1037e-01, +0.0000e+00, +7.2157e-01, +1.6946e+00, +5.9676e-01, +1.4906e-16, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.4124e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.7150e-02, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +0.0000e+00, +2.7336e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +4.1444e-01, +0.0000e+00, +0.0000e+00, +1.7015e-01, +5.0555e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +0.0000e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +0.0000e+00, +1.0512e-01, +0.0000e+00, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.4124e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +4.7016e-12, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.9987e-02, +0.0000e+00, +0.0000e+00, +3.5568e-01, +0.0000e+00, +4.1444e-01, +0.0000e+00, +0.0000e+00, +1.7015e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.5994e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +1.6946e+00, +0.0000e+00, +2.5225e-02, +1.0000e+06
 +0.0000e+00, +2.6254e-15, +8.7761e-14, +1.4124e-01, +0.0000e+00, +0.0000e+00, +1.7456e-13, +7.5780e-14, +0.0000e+00, +4.8615e-13, +2.7150e-02, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +1.4989e-14, +2.7336e-01, +0.0000e+00, +2.7483e-13, +9.8236e-01, +4.1444e-01, +1.3677e-15, +0.0000e+00, +1.7015e-01, +5.0555e-01, +0.0000e+00, +0.0000e+00, +8.5562e-12, +1.6407e-12, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +3.9212e-13, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +4.4841e-13, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +5.6102e-13, +2.7821e-14, +0.0000e+00, +0.0000e+00, +2.3166e-13, +0.0000e+00, +7.2157e-01, +5.7414e-13, +5.9676e-01, +1.2406e-13, +1.0000e+06
