 par_1      , par_2      , f_value    
 -7.5984e-01, -3.3224e+00, -2.7166e+01
 -3.2930e-01, -3.5000e+00, -2.7166e+01
 -5.0246e-01, -3.2608e+00, -2.7166e+01
 +3.2182e+00, -3.4781e+00, -1.9183e+01
 +1.7755e+00, -2.5781e+00, -9.8995e+00
 +1.0626e+00, +1.1601e+00, -9.8995e+00
 +3.5000e+00, +2.7370e+00, -9.8995e+00
 +3.0816e+00, +1.5664e+00, -9.8995e+00
 +1.3657e+00, -1.4447e+00, -9.8995e+00
 +1.5023e+00, +5.1080e-01, -9.8995e+00
 -2.1354e-01, -2.5003e+00, -9.8995e+00
 +3.3547e+00, -1.5226e+00, -9.8995e+00
 +1.6389e+00, +2.4663e+00, -9.8995e+00
 +1.7047e+00, -1.5090e+00, -9.8995e+00
 +3.4913e+00, +4.3297e-01, -9.8995e+00
 +2.7454e+00, +7.8939e-01, -9.8995e+00
 +2.1824e+00, -2.2754e+00, -9.8995e+00
 +3.5000e+00, +1.3176e+00, -9.8995e+00
 +1.0401e+00, +9.6684e-01, -9.8995e+00
 +3.6305e-01, -2.2696e+00, -9.8995e+00
 +2.8326e+00, -1.4056e+00, -9.8995e+00
 +2.9784e+00, +6.3844e-01, -9.8995e+00
 +1.2248e-02, -2.7089e+00, -9.8995e+00
 +8.4360e-01, +6.6194e-01, -9.8995e+00
 +1.0643e+00, +1.3547e+00, -9.8995e+00
 +7.2825e-01, -1.3312e+00, -9.8995e+00
 +1.4805e+00, +1.6390e+00, -9.8995e+00
 +7.5039e-01, +1.0406e+00, -9.8995e+00
 +1.9328e+00, +2.3288e+00, -9.8995e+00
 +1.3015e+00, +1.4151e+00, -9.8995e+00
 +1.2936e+00, -5.9626e-01, -9.8995e+00
 +1.3651e+00, -3.3124e-01, -9.8995e+00
 +2.9450e+00, -3.8914e-01, -9.8995e+00
 +1.2292e+00, -3.4003e+00, -9.8995e+00
 +1.2831e+00, +1.5932e+00, -9.8995e+00
