 par_1      , par_2      , par_3      , par_4      , par_5      , par_6      , par_7      , f_value    
 +1.6839e-01, +7.6773e-02, -6.5170e-04, +5.0622e-02, +1.9871e-01, -3.0331e-01, +9.8439e-02, -2.3495e+01
 +7.3839e-02, +4.2835e-01, -1.4443e-03, +3.4397e-02, +1.4493e-01, -3.5022e-01, +1.7528e-01, -2.3495e+01
 +3.5881e-13, +1.1521e+00, -1.5131e-03, +1.0315e-14, +2.1744e-01, -6.1341e-01, +1.3704e-13, -2.3495e+01
 +0.0000e+00, +1.1521e+00, -1.5131e-03, +5.4003e-01, +0.0000e+00, -6.1341e-01, +3.2218e-01, -2.3495e+01
 +4.7590e-08, +1.1521e+00, -1.5131e-03, +1.2396e-01, +1.4474e-01, -6.1341e-01, +8.9207e-02, -2.3495e+01
 +2.1760e-01, +1.8980e-01, -1.0234e-03, +3.5656e-02, +1.5376e-01, -3.5728e-01, +1.5103e-01, -2.3495e+01
 +1.0467e+00, +3.8135e-01, -1.1234e-03, +1.0291e-01, +2.8161e-02, -5.6810e-01, +1.1398e-02, -1.6673e+01
 +1.3943e+00, +4.2246e-01, -3.2222e-04, +2.4605e-01, +1.1275e-01, -2.4086e-01, +8.8448e-02, -1.6673e+01
 +1.6828e+00, +1.1521e+00, +0.0000e+00, +5.4003e-01, +1.2161e-01, -2.6799e-01, +1.9470e-01, -1.6673e+01
 +2.5430e+00, +1.1625e-06, -1.5131e-03, +5.4003e-01, +4.8944e-08, -6.1341e-01, +5.3886e-02, -1.6673e+01
 +1.3827e+00, +1.1521e+00, -1.7541e-11, +3.4154e-01, +1.2335e-01, -1.6086e-01, +2.6839e-01, -1.6673e+01
 +2.5430e+00, +1.1521e+00, +0.0000e+00, +3.2932e-01, +0.0000e+00, +0.0000e+00, +4.9291e-01, -1.6673e+01
 +8.6256e-01, +2.2696e-01, -5.8204e-04, +1.7666e-01, +1.7155e-01, -3.5567e-01, +1.9550e-01, -1.6673e+01
 +2.5423e+00, +1.1521e+00, +0.0000e+00, +5.4003e-01, +0.0000e+00, +0.0000e+00, +4.9291e-01, -1.6673e+01
